ReachDiff,HeightDiff,AgeDif,WinStreakDif,LoseStreakDif,KODif,SubDif,WinDif,LossDif,Winner
-12.7,2.54,-1,0,0,0,0,3,0,RedFighter
2.54,0.0,-5,1,-1,0,1,0,-2,BlueFighter
-5.08,-7.62,-4,-1,0,1,-1,-1,0,RedFighter
-7.62,-7.62,-3,1,0,1,0,1,4,RedFighter
5.08,-2.54,-1,-6,1,2,-1,-6,-2,BlueFighter
-2.54,5.08,-7,5,0,-10,3,-14,-5,BlueFighter
12.7,2.54,-5,0,0,1,5,7,5,RedFighter
-5.08,0.0,1,0,0,0,0,-7,-3,BlueFighter
2.54,-5.08,-11,4,-1,0,0,-3,-3,BlueFighter
2.54,-7.62,-15,3,-1,-3,1,-5,-3,BlueFighter
2.54,-2.54,0,-1,2,2,0,2,2,BlueFighter
2.54,5.08,-8,0,0,1,0,1,3,RedFighter
2.54,-5.08,8,1,-3,6,2,13,7,RedFighter
-7.62,0.0,-1,0,1,0,0,-1,2,BlueFighter
0.0,7.62,1,0,-2,6,0,5,1,RedFighter
2.54,0.0,-7,-3,1,2,-4,-6,-3,RedFighter
0.0,-2.54,-1,5,0,-2,8,7,0,RedFighter
-2.54,-10.16,2,2,0,2,2,3,1,RedFighter
5.08,-2.54,-1,0,0,2,1,3,1,BlueFighter
5.08,7.62,6,1,-1,-1,1,0,0,RedFighter
-10.16,-10.16,7,-3,1,3,1,1,2,RedFighter
-7.62,2.54,2,0,-1,-4,0,-6,-9,RedFighter
-12.7,0.0,2,-1,3,2,0,3,3,RedFighter
2.54,17.78,1,-5,3,-2,3,-1,2,RedFighter
-7.62,2.54,1,-1,2,0,0,-2,4,RedFighter
5.08,10.16,-1,-2,0,0,0,-2,-1,RedFighter
10.16,5.08,-2,0,0,1,0,3,1,RedFighter
7.62,2.54,-7,0,0,-1,0,0,0,BlueFighter
-5.08,0.0,3,-2,1,0,0,1,2,BlueFighter
-10.16,-12.7,4,4,0,-6,0,-1,1,BlueFighter
0.0,0.0,5,-5,1,4,0,4,0,BlueFighter
7.62,7.62,-4,3,0,-1,-3,-4,-1,BlueFighter
-20.32,-7.62,3,-1,0,2,-1,-1,0,BlueFighter
20.32,2.54,7,-1,2,2,0,4,4,RedFighter
-2.54,-5.08,-3,3,0,-3,-1,-1,-3,BlueFighter
5.08,12.7,-2,-3,0,0,0,1,2,BlueFighter
-2.54,0.0,5,0,0,-1,0,-2,0,BlueFighter
-15.24,-5.08,-6,-1,1,1,-1,2,-1,BlueFighter
5.08,-5.08,12,-1,0,0,-2,-1,2,RedFighter
2.54,0.0,-7,1,-2,-3,-2,-9,-6,BlueFighter
7.62,7.62,-5,3,0,-4,-3,-12,-10,BlueFighter
-10.16,-2.54,1,-1,0,-4,0,-2,2,RedFighter
-7.62,-2.54,-1,0,0,1,-3,-1,-2,BlueFighter
-2.54,0.0,0,0,0,-1,0,-2,-1,BlueFighter
5.08,0.0,4,-2,0,-2,0,-3,-2,BlueFighter
-2.54,5.08,0,0,0,-1,0,-1,0,RedFighter
-7.62,0.0,2,2,0,0,0,2,-1,BlueFighter
-2.54,5.08,0,-3,2,0,-3,-5,1,BlueFighter
-22.86,-2.54,6,0,0,-1,0,3,2,RedFighter
5.08,0.0,-9,-1,1,-1,-2,-5,-1,RedFighter
-2.54,-10.16,-1,0,0,0,0,0,0,BlueFighter
-5.08,5.08,-9,8,-1,-4,1,-2,-7,BlueFighter
-7.62,-5.08,-10,-1,0,-2,0,-7,-11,BlueFighter
-2.54,0.0,4,0,0,0,0,0,0,BlueFighter
15.24,0.0,-7,0,0,0,0,0,0,BlueFighter
-2.54,-7.62,-12,4,0,-4,-2,-17,-10,BlueFighter
5.08,-5.08,10,0,0,-4,9,4,5,BlueFighter
5.08,0.0,-1,-1,2,0,0,0,-1,BlueFighter
-7.62,-10.16,3,-1,1,-1,-1,-2,0,RedFighter
10.16,2.54,-7,0,0,-3,0,-2,-2,RedFighter
-7.62,-15.24,4,-1,1,1,0,2,1,RedFighter
-5.08,-2.54,2,-1,1,1,-1,1,3,RedFighter
10.16,7.62,5,-7,1,1,-1,6,3,RedFighter
-2.54,10.16,-2,0,-1,-1,0,-4,-3,RedFighter
12.7,5.08,1,-1,0,4,1,6,6,BlueFighter
7.62,0.0,5,1,-4,1,0,0,-2,BlueFighter
17.78,2.54,-5,3,-1,-5,0,-8,-6,BlueFighter
7.62,7.62,-1,0,0,-1,0,-1,-1,BlueFighter
-2.54,-2.54,-1,0,0,2,0,4,2,BlueFighter
-5.08,0.0,-2,3,-2,-1,0,-1,-2,RedFighter
12.7,5.08,6,0,2,0,2,0,2,RedFighter
0.0,-10.16,13,-1,2,-2,0,-2,1,RedFighter
-2.54,0.0,1,0,1,-2,0,-1,1,RedFighter
-7.62,-2.54,-1,2,0,1,1,3,1,BlueFighter
0.0,0.0,-9,-1,1,-1,1,-5,-3,BlueFighter
-5.08,-10.16,-5,2,0,0,-2,-3,-4,BlueFighter
-10.16,-2.54,5,-2,1,-2,0,-2,1,RedFighter
7.62,-7.62,-1,0,-1,-3,0,-8,-3,RedFighter
0.0,5.08,-1,1,-3,1,0,-2,-4,RedFighter
-5.08,0.0,5,0,-1,1,0,0,-1,RedFighter
-2.54,5.08,3,0,1,0,0,-1,2,RedFighter
0.0,-2.54,1,2,0,-2,0,2,0,RedFighter
2.54,2.54,2,0,0,0,-1,-3,-1,RedFighter
-17.78,-12.7,9,1,0,0,0,1,0,RedFighter
-2.54,-7.62,-4,2,0,-4,1,-5,-3,BlueFighter
2.54,-5.08,-1,-2,2,5,0,5,6,RedFighter
-5.08,-7.62,5,2,-1,-3,0,-3,-5,BlueFighter
-2.54,5.08,-4,0,-4,-5,0,-4,-1,BlueFighter
-5.08,-5.08,-1,0,-1,0,-2,-1,-1,RedFighter
-12.7,-12.7,-5,-1,1,0,-3,-2,-1,RedFighter
12.7,5.08,1,-4,1,3,2,6,4,RedFighter
0.0,0.0,-1,0,0,0,0,0,0,BlueFighter
7.62,5.08,-2,1,-1,3,-1,4,4,RedFighter
2.54,-2.54,-4,0,-2,0,0,-1,-2,RedFighter
-7.62,0.0,7,-3,1,0,0,0,5,BlueFighter
-7.62,-5.08,-9,0,1,-1,0,-2,-2,RedFighter
-5.08,-2.54,8,0,2,1,-1,-2,2,RedFighter
-5.08,-7.62,4,-3,0,-1,0,0,1,BlueFighter
5.08,-2.54,2,-1,0,3,-2,6,3,RedFighter
5.08,0.0,-8,4,0,-2,-2,-12,-12,BlueFighter
-10.16,2.54,3,0,0,2,0,3,2,BlueFighter
10.16,10.16,5,1,-2,1,-2,-2,0,RedFighter
0.0,2.54,7,0,0,1,1,-2,3,RedFighter
7.62,5.08,-4,-1,1,-1,-1,-5,-3,BlueFighter
-5.08,-2.54,1,1,-2,-1,-2,-2,-2,RedFighter
-5.08,-5.08,7,-2,0,2,-4,-2,2,RedFighter
-2.54,-2.54,3,-1,0,0,0,0,2,RedFighter
-10.16,0.0,6,1,-1,0,0,1,1,RedFighter
-20.32,-10.16,6,-1,1,0,-2,-2,0,RedFighter
-2.54,0.0,4,-3,0,0,0,-2,3,RedFighter
-7.62,-5.08,2,0,-1,0,0,0,-1,RedFighter
-2.54,-2.54,-1,2,0,-2,0,-2,0,BlueFighter
-2.54,0.0,-1,-2,0,-4,0,-1,3,RedFighter
7.62,2.54,-4,0,0,0,0,0,-5,RedFighter
-5.08,-7.62,1,3,-1,1,1,-2,-1,BlueFighter
7.62,5.08,2,0,-2,-2,1,2,2,RedFighter
-7.62,-2.54,6,-2,0,0,-1,-2,0,BlueFighter
12.7,10.16,-1,0,1,-1,-3,-7,-3,BlueFighter
2.54,7.62,5,0,0,-1,-1,-4,-3,RedFighter
7.62,0.0,1,0,0,-1,0,0,1,BlueFighter
-5.08,5.08,-1,-2,2,0,0,-3,4,RedFighter
-12.7,-2.54,-6,0,0,-1,1,-2,0,BlueFighter
0.0,0.0,-2,5,0,-2,-3,-4,-5,RedFighter
-7.62,-2.54,3,0,1,-3,0,-5,-2,BlueFighter
-2.54,-2.54,-8,3,-1,-8,-1,-11,-9,BlueFighter
5.08,-7.62,5,2,-1,0,-3,-1,1,RedFighter
-7.62,-15.24,-8,3,0,-2,-2,-3,-6,RedFighter
12.7,10.16,11,-1,0,0,0,1,4,BlueFighter
-2.54,-2.54,-11,-1,0,0,-1,-5,-2,RedFighter
-7.62,0.0,-3,-4,1,-2,0,-6,0,RedFighter
2.54,0.0,3,-2,2,-1,2,0,4,RedFighter
-7.62,-10.16,3,0,1,1,1,3,-1,BlueFighter
-2.54,-2.54,2,-1,2,0,1,0,0,RedFighter
2.54,-2.54,-5,-2,0,-2,1,-3,0,RedFighter
2.54,10.16,-3,2,0,-2,-1,-8,-4,BlueFighter
0.0,-5.08,0,-1,2,-3,-6,-9,-8,BlueFighter
15.24,12.7,0,1,-1,2,-3,1,0,BlueFighter
12.7,0.0,11,-6,0,-3,0,-6,0,RedFighter
-2.54,-2.54,7,0,0,-1,0,1,4,RedFighter
10.16,7.62,-6,-1,1,-2,-2,-8,-2,BlueFighter
0.0,-5.08,-1,2,-1,-1,-2,-4,-6,BlueFighter
-2.54,-2.54,4,-3,1,-1,-1,-3,1,RedFighter
2.54,5.08,-9,1,-4,2,3,2,-2,BlueFighter
0.0,2.54,-13,0,-2,-10,-1,-20,-20,BlueFighter
-2.54,5.08,8,-3,1,-1,-1,0,2,RedFighter
2.54,7.62,-3,2,-2,1,-3,-7,-4,BlueFighter
7.62,0.0,-2,2,0,-3,1,-13,-5,RedFighter
-10.16,10.16,3,3,-1,0,1,5,2,BlueFighter
7.62,10.16,5,0,1,-1,-1,-4,-6,RedFighter
17.78,7.62,3,-1,0,0,0,-1,0,RedFighter
-17.78,-10.16,2,1,-1,-2,0,-1,1,BlueFighter
-10.16,-2.54,7,-2,0,0,0,0,1,RedFighter
-5.08,-7.62,-3,-3,0,-2,0,-3,-1,BlueFighter
0.0,-2.54,7,1,0,1,-1,4,3,RedFighter
-12.7,-5.08,-8,0,2,0,-4,-8,-1,BlueFighter
15.24,2.54,-3,-1,1,1,0,0,1,RedFighter
-2.54,0.0,4,0,0,2,0,0,-1,BlueFighter
12.7,2.54,-8,4,0,-2,-1,-3,-4,BlueFighter
-5.08,0.0,-8,1,0,0,-1,-1,-3,BlueFighter
0.0,5.08,8,0,1,1,0,0,2,BlueFighter
-2.54,-5.08,2,0,0,0,0,0,0,RedFighter
15.24,20.32,-1,-1,0,0,0,0,2,RedFighter
12.7,2.54,4,0,-1,0,0,0,0,BlueFighter
10.16,7.62,-1,0,0,2,-2,1,0,BlueFighter
-5.08,-2.54,5,0,1,0,0,0,1,BlueFighter
10.16,12.7,6,-1,2,-3,0,-3,1,BlueFighter
-5.08,-5.08,3,0,0,1,0,2,0,RedFighter
7.62,-2.54,-2,-2,0,0,1,-2,1,RedFighter
-5.08,10.16,-11,-1,0,-4,0,-5,-4,BlueFighter
-2.54,-2.54,2,0,-3,1,-1,2,1,RedFighter
10.16,0.0,12,0,0,-1,-1,-1,1,RedFighter
7.62,5.08,1,0,0,-2,1,0,3,RedFighter
12.7,5.08,-4,0,-1,-1,-2,-3,-2,BlueFighter
-5.08,-7.62,0,0,-1,1,-1,0,1,BlueFighter
5.08,-5.08,0,3,0,0,-3,-3,-3,BlueFighter
15.24,10.16,-3,0,0,1,0,0,0,BlueFighter
22.86,10.16,0,0,0,0,0,-3,-2,RedFighter
-2.54,2.54,-6,0,-1,0,2,0,-2,BlueFighter
-5.08,2.54,-1,1,0,0,-1,-2,-2,BlueFighter
-7.62,-10.16,-6,-2,1,1,-1,1,2,BlueFighter
22.86,0.0,-2,0,0,0,0,-3,-3,BlueFighter
-7.62,5.08,1,0,-2,0,0,0,-2,BlueFighter
5.08,-2.54,3,-12,0,9,-2,9,7,RedFighter
-10.16,0.0,0,0,0,0,-1,-9,-3,RedFighter
-17.78,-7.62,-2,0,-1,1,-4,-6,-3,RedFighter
-10.16,-2.54,-1,1,-2,-2,0,6,-1,RedFighter
-12.7,-10.16,4,0,0,0,-2,-2,-2,RedFighter
2.54,-2.54,-3,-2,1,3,0,2,3,BlueFighter
-10.16,-2.54,1,1,-1,-1,-1,-1,1,RedFighter
-5.08,-2.54,0,0,0,-1,-2,-3,1,RedFighter
-17.78,-10.16,-4,0,0,-2,5,8,5,BlueFighter
-5.08,-7.62,0,0,-1,0,-5,-6,-4,BlueFighter
10.16,7.62,-1,-2,1,0,0,2,2,RedFighter
7.62,5.08,0,2,-1,0,0,2,-1,BlueFighter
-5.08,-5.08,-6,3,0,-7,0,-13,-11,BlueFighter
-2.54,0.0,6,1,0,-2,2,-1,-1,RedFighter
-12.7,-7.62,-2,-1,0,-1,2,0,1,RedFighter
0.0,0.0,-3,0,0,-4,0,-5,0,RedFighter
5.08,2.54,8,1,-1,1,0,7,12,BlueFighter
7.62,17.78,-8,0,0,1,0,0,0,BlueFighter
-17.78,0.0,5,0,1,0,0,0,1,RedFighter
2.54,-2.54,3,0,1,1,0,1,1,BlueFighter
-15.24,-7.62,0,0,1,2,3,7,5,RedFighter
-5.08,-2.54,0,0,0,1,1,-1,1,BlueFighter
2.54,0.0,-4,0,0,0,0,-2,0,RedFighter
10.16,0.0,-5,0,0,0,-1,-2,-1,RedFighter
2.54,-2.54,-8,3,-1,-14,2,-13,-9,RedFighter
0.0,17.78,0,-1,0,-4,0,-6,-4,RedFighter
2.54,10.16,-3,1,0,-2,-1,-4,-2,BlueFighter
-20.32,-5.08,-8,3,0,-3,0,-5,-5,RedFighter
12.7,10.16,-4,4,-1,0,-4,-10,-11,BlueFighter
15.24,7.62,3,-1,0,-1,0,-4,-1,RedFighter
-12.7,-5.08,8,-1,0,1,-2,-3,-1,RedFighter
-10.16,0.0,-1,-1,0,-2,-2,-3,-3,BlueFighter
-2.54,0.0,5,0,0,1,0,5,4,RedFighter
12.7,17.78,4,-1,0,-2,0,-1,1,BlueFighter
0.0,-5.08,-6,-1,1,0,2,0,-2,RedFighter
-7.62,-2.54,-3,0,0,-1,1,-6,-1,BlueFighter
2.54,7.62,-6,-2,0,-1,-4,-8,-3,RedFighter
0.0,2.54,-7,6,-1,-7,0,-11,-4,RedFighter
2.54,-5.08,-9,4,0,-5,-4,-9,-10,RedFighter
5.08,5.08,-3,-6,0,0,-2,-5,1,RedFighter
-2.54,-5.08,-5,7,-1,-2,-5,-2,-7,BlueFighter
2.54,0.0,0,3,0,2,-1,-1,0,BlueFighter
5.08,0.0,-16,-2,0,0,0,-7,-6,BlueFighter
5.08,0.0,0,-2,0,-2,1,-2,0,BlueFighter
2.54,2.54,1,2,0,-1,0,2,-2,BlueFighter
-2.54,2.54,2,-1,1,1,0,4,5,RedFighter
12.7,7.62,-6,0,0,0,-1,0,0,RedFighter
2.54,5.08,13,0,0,0,0,5,2,RedFighter
2.54,2.54,-2,0,0,-1,0,-1,-1,RedFighter
-2.54,0.0,1,0,2,1,2,0,2,BlueFighter
-7.62,-5.08,-1,1,-2,-2,-3,-7,-4,BlueFighter
0.0,-2.54,0,1,0,0,2,-2,-5,BlueFighter
-2.54,-5.08,-4,1,-1,0,0,0,-2,BlueFighter
7.62,-2.54,-2,1,-1,-1,0,-3,0,BlueFighter
-10.16,-2.54,-9,-1,1,-2,-2,-11,-10,BlueFighter
2.54,2.54,-3,1,-1,0,-11,-15,-7,BlueFighter
-2.54,0.0,-5,0,-1,-1,0,-3,-4,RedFighter
-7.62,-5.08,-3,0,0,-4,0,-4,-4,RedFighter
-2.54,7.62,-2,0,-1,0,0,0,-1,BlueFighter
2.54,-7.62,4,-1,0,0,0,-1,0,BlueFighter
-7.62,-7.62,-2,0,2,0,0,0,2,RedFighter
0.0,10.16,-11,0,1,-2,-2,-5,-5,BlueFighter
0.0,0.0,-4,2,0,1,0,1,0,RedFighter
0.0,2.54,0,-1,0,-1,-2,0,0,RedFighter
-2.54,0.0,-3,0,0,4,2,13,3,BlueFighter
-5.08,-7.62,-7,2,0,0,-16,-14,-7,BlueFighter
-10.16,-2.54,1,-2,0,1,-2,0,5,RedFighter
-5.08,2.54,1,0,0,0,-1,3,1,RedFighter
-2.54,-10.16,-2,0,-1,-2,4,8,-1,BlueFighter
-7.62,0.0,-9,-1,0,-2,0,-8,-6,BlueFighter
2.54,5.08,-1,2,-1,-1,0,-5,0,BlueFighter
-12.7,-10.16,6,1,0,-5,3,2,1,BlueFighter
7.62,12.7,4,0,0,-3,-3,-8,-7,RedFighter
0.0,-5.08,3,2,-1,3,8,10,4,RedFighter
-7.62,7.62,-4,1,0,2,-3,-2,2,RedFighter
0.0,-10.16,8,-5,0,3,-8,-6,0,RedFighter
-2.54,5.08,4,0,1,-2,2,-1,-2,BlueFighter
0.0,-2.54,3,1,0,0,0,1,0,BlueFighter
-10.16,-12.7,8,0,0,-1,1,2,5,RedFighter
5.08,7.62,-1,0,0,-1,0,-2,0,BlueFighter
-7.62,0.0,-6,0,-1,2,0,2,-5,BlueFighter
0.0,-5.08,5,0,3,0,1,1,3,BlueFighter
10.16,5.08,6,-2,0,4,1,3,1,RedFighter
12.7,2.54,0,0,0,-1,1,0,0,BlueFighter
0.0,-2.54,-6,0,0,0,0,0,-1,BlueFighter
-2.54,2.54,12,0,0,0,0,0,0,BlueFighter
-2.54,0.0,2,0,0,0,0,0,0,BlueFighter
-2.54,7.62,10,0,0,2,-3,0,0,BlueFighter
2.54,-2.54,-3,1,0,-3,-5,-8,-1,BlueFighter
-10.16,-5.08,-5,0,0,0,-3,-7,-3,RedFighter
7.62,-7.62,-2,1,0,-1,1,2,1,RedFighter
-5.08,-2.54,-2,0,0,0,-1,-2,0,BlueFighter
-5.08,-2.54,-7,0,0,-3,0,-3,0,RedFighter
5.08,2.54,-1,1,-1,1,-2,-1,1,RedFighter
-7.62,-2.54,-5,2,0,-1,0,2,0,RedFighter
7.62,5.08,2,0,1,-2,1,-3,-2,RedFighter
2.54,-2.54,5,1,-2,0,0,0,-2,RedFighter
2.54,2.54,0,-1,3,-1,0,0,3,RedFighter
0.0,-7.62,-4,0,0,-1,-2,-2,2,BlueFighter
-5.08,-5.08,-5,0,0,0,0,0,0,BlueFighter
-2.54,5.08,1,-1,2,1,1,2,2,BlueFighter
-12.7,-7.62,-4,0,0,4,0,1,3,RedFighter
2.54,-5.08,6,1,-1,-4,0,-4,-2,RedFighter
-7.62,-5.08,-2,-2,1,3,-1,2,1,RedFighter
5.08,0.0,-8,-1,3,-4,-1,-4,0,BlueFighter
-17.78,-7.62,2,1,-1,0,0,0,-1,RedFighter
5.08,0.0,-3,-1,1,0,-1,0,-3,BlueFighter
5.08,10.16,6,0,1,0,1,0,3,BlueFighter
12.7,7.62,7,-1,3,-1,0,-4,2,RedFighter
0.0,0.0,1,2,-2,1,0,2,-1,RedFighter
0.0,2.54,-7,-1,0,0,0,-1,0,BlueFighter
-5.08,0.0,5,0,0,-1,0,0,0,BlueFighter
0.0,5.08,-6,0,0,-1,1,0,0,BlueFighter
7.62,2.54,7,0,-2,-3,0,3,1,BlueFighter
7.62,5.08,-9,0,0,-4,-4,-12,-9,RedFighter
0.0,0.0,1,-2,0,1,-1,-3,-1,RedFighter
15.24,10.16,0,0,0,2,1,1,-1,BlueFighter
-12.7,-2.54,-2,0,1,3,-8,-1,0,RedFighter
2.54,7.62,-1,1,0,1,-1,0,1,BlueFighter
2.54,15.24,3,-3,1,0,0,-2,1,BlueFighter
12.7,0.0,2,-1,1,1,0,3,3,RedFighter
-7.62,2.54,-2,1,-1,0,-1,-2,-2,BlueFighter
-25.4,0.0,-4,1,0,-1,1,3,0,RedFighter
2.54,5.08,3,0,0,-1,-3,-7,-4,RedFighter
-7.62,-2.54,6,-1,2,0,0,1,2,BlueFighter
-5.08,-7.62,2,-4,0,0,4,5,6,RedFighter
2.54,5.08,-7,5,-1,-8,-2,-17,-7,RedFighter
-5.08,0.0,5,0,-1,-5,-4,-13,-7,BlueFighter
5.08,2.54,-10,7,-1,0,-4,-8,-6,BlueFighter
0.0,2.54,-5,2,-3,1,1,2,-2,RedFighter
-2.54,-2.54,-1,7,-1,-5,4,-5,-4,RedFighter
-7.62,-10.16,-10,5,-1,5,0,-2,-3,BlueFighter
0.0,-5.08,6,-2,1,1,4,15,11,RedFighter
17.78,5.08,-9,2,-1,-1,-2,-4,-7,BlueFighter
7.62,2.54,8,2,0,-3,0,-3,-6,BlueFighter
2.54,-2.54,-1,-5,0,4,-1,0,2,RedFighter
-12.7,-7.62,-1,0,2,3,0,4,4,RedFighter
-7.62,-5.08,-2,-1,0,-2,1,-3,-2,BlueFighter
5.08,2.54,-6,-1,2,-1,1,-2,-3,RedFighter
0.0,5.08,-1,2,-1,-6,1,-5,-5,RedFighter
5.08,2.54,6,-3,0,2,1,2,4,RedFighter
12.7,2.54,-8,5,-2,-2,1,-2,-3,BlueFighter
-2.54,-2.54,-2,-4,0,-1,-2,-4,0,RedFighter
-5.08,0.0,-6,2,-1,0,-3,-4,-5,BlueFighter
12.7,2.54,-1,0,3,-3,0,-4,0,RedFighter
-10.16,-7.62,-5,-1,0,-1,0,-1,0,RedFighter
2.54,2.54,-8,1,0,-2,1,0,-2,RedFighter
-5.08,-2.54,3,-1,1,0,0,0,1,RedFighter
-2.54,7.62,0,-3,1,-1,0,-4,-1,RedFighter
